text,size,topic 
buildings,460,1 
plan,451,1 
policy,442,1 
neighborhoods,327,1 
civic,301,1 
community,249,1 
strategies,235,1 
existing,222,1 
lots,221,1 
walkable,217,1 
large,207,1 
arroyos,203,1 
concerns,196,1 
map,183,1 
goal,182,1 
spaces,182,1 
neighborhood,182,1 
streets,180,1 
network,137,1 
regional,136,1 
addressing,131,1 
compact,123,1 
historic,110,1 
element,105,1 
valley,105,1 
center,103,1 
central,102,1 
infill,101,1 
small,95,1 
space,92,1 
greens,91,1 
step,91,1 
principles,91,1 
design,89,1 
blocks,88,1 
drainage,87,1 
drive,86,1 
ave,82,1 
smartcode,81,1 
complete,81,1 
impact,80,1 
goals,80,1 
legend,80,1 
critical,79,1 
plans,79,1 
vacant,75,1 
cities,74,1 
current,74,1 
green,72,1 
sector,69,1 
provided,68,1 
arroyo,67,1 
create,67,1 
walk,67,1 
proposed,65,1 
fees,64,1 
housing,64,1 
preferred,64,1 
northeast,64,1 
war,63,1 
eastside,63,1 
officials,63,1 
alleys,63,1 
lined,62,1 
world,61,1 
mixed,59,1 
created,59,1 
smart,58,1 
time,57,1 
site,57,1 
important,57,1 
westside,57,1 
surrounding,56,1 
shed,56,1 
lands,55,1 
auto,54,1 
homes,54,1 
farmland,51,1 
schools,51,1 
subdivision,50,1 
multiway,50,1 
valuable,49,1 
face,49,1 
mission,49,1 
owned,48,1 
add,47,1 
urbanism,47,1 
shade,47,1 
form,46,1 
fabric,46,1 
upper,46,1 
added,46,1 
sense,46,1 
irrigated,45,1 
title,45,1 
regulations,45,1 
edges,44,1 
connected,43,1 
fields,43,1 
long,43,1 